Predicción de captura_2026-05-21_15-38-55.pcap_Flow.csv
Flujo 130: prob=0.000000000000, clase=0, paquetes=2, payload=279.0, ACK=0, RST=0, SYN=0, duracion=40285
Flujo 131: prob=0.000000000314, clase=0, paquetes=2, payload=139.0, ACK=0, RST=0, SYN=0, duracion=111593
Flujo 132: prob=0.000000000000, clase=0, paquetes=36, payload=28951.0, ACK=35, RST=0, SYN=2, duracion=604027
Flujo 133: prob=0.000000000000, clase=0, paquetes=2, payload=252.0, ACK=0, RST=0, SYN=0, duracion=113638
Flujo 134: prob=0.000030985866, clase=0, paquetes=2, payload=72.0, ACK=0, RST=0, SYN=0, duracion=71419
Flujo 135: prob=0.000000000000, clase=0, paquetes=36, payload=10776.0, ACK=35, RST=0, SYN=2, duracion=18465969
Flujo 136: prob=0.000000000000, clase=0, paquetes=2, payload=206.0, ACK=0, RST=0, SYN=0, duracion=48504
Flujo 137: prob=0.000000000000, clase=0, paquetes=2, payload=196.0, ACK=0, RST=0, SYN=0, duracion=70689
Flujo 138: prob=0.000000000000, clase=0, paquetes=2, payload=325.0, ACK=0, RST=0, SYN=0, duracion=58539
Flujo 139: prob=0.000000001728, clase=0, paquetes=2, payload=145.0, ACK=0, RST=0, SYN=0, duracion=3302
Flujo 140: prob=0.000034134471, clase=0, paquetes=2, payload=72.0, ACK=0, RST=0, SYN=0, duracion=43655
Flujo 141: prob=1.000000000000, clase=1, paquetes=2, payload=0.0, ACK=2, RST=0, SYN=0, duracion=41
Flujo 142: prob=0.000000000255, clase=0, paquetes=2, payload=166.0, ACK=0, RST=0, SYN=0, duracion=55861
Flujo 143: prob=0.000000000011, clase=0, paquetes=2, payload=176.0, ACK=0, RST=0, SYN=0, duracion=110390
Flujo 144: prob=0.000000008967, clase=0, paquetes=2, payload=125.0, ACK=0, RST=0, SYN=0, duracion=113698
Flujo 145: prob=0.000000003839, clase=0, paquetes=2, payload=135.0, ACK=0, RST=0, SYN=0, duracion=141528
Flujo 146: prob=0.000000000324, clase=0, paquetes=2, payload=140.0, ACK=0, RST=0, SYN=0, duracion=21598
